,SOC 2018 CODE,SOC 2018 CODE_with_x,SOC 2018 CODE_with_xx,OCCUPATION,OCC_CODE,TOT_EMP,H_MEAN,A_MEAN,O_GROUP,I_GROUP,"Percent of workers, reaching at or below the shoulder is required","Percent of workers, choice of sitting or standing is allowed","Percent of workers, reaching at or below the shoulder is required, both hands","Percent of workers, fine manipulation is required, both hands","Percent of workers, reaching overhead is required, one hand","Percent of workers, reaching overhead is required, both hands","Hours of standing, mean",PCT_STAND,"Hours of sitting, mean",PCT_SIT,STANDING_BOOLEAN,SITTING_BOOLEAN,"Percent of workers, choice of sitting or standing is not allowed","Percent of workers, with the ability to pause work","Percent of workers, fine manipulation is required, one hand","Percent of workers, exposed to very loud noise","Percent of workers, hearing over the telephone is required","Percent of workers, exposed to outdoors","Percent of workers, low postures are required","Percent of workers, exposed to wetness","Percent of workers, reaching overhead is required","Percent of workers, stooping is required","Percent of workers, foot or leg controls is required","Percent of day where standing is required, mean","Percent of day where sitting is required, mean","Percent of workers, problem solving is required once per day","Percent of workers, problem solving is required less often than monthly, including never","Percent of workers, crawling is required","Percent of workers, kneeling is required","Percent of workers, crouching is required","Percent of workers, keyboarding is required","Percent of workers, driving is required","Percent of workers, with telework available","Percent of workers, minimum education level is a bachelor's degree","Percent of workers, gross manipulation is required","Percent of workers, fine manipulation is required","Percent of workers, working around crowds is required","Percent of workers, exposed to extreme cold","Percent of workers, exposed to extreme heat","Percent of workers, speaking is required","Percent of workers, exposed to heights","Percent of workers, in proximity to moving mechanical parts","Percent of workers, climbing ladders, ropes, or scaffolds is required","Percent of workers, exposed to hazardous contaminants","Percent of workers, exposed to loud noise","Percent of workers, without the ability to pause work","Percent of workers, lifting or carrying > 25 lbs is required, constantly","Percent of workers, problem solving is required not every week, but at least once per month","Percent of workers, problem solving is required not every day, but at least once per week",dots,OCC_SHORT,INJURY_RATE,nonwhite_pct,white_pct,black_pct,hisp_pct,asian_pct,noncitizen_pct,n
51,537021,53702X,5370XX,Crane and tower operators,537021,42260,32.71,68040,detailed,cross-industry,86.5,6.6,>65,,<20,>50,4.97,62.125,4.67,58.375,62.125,58.375,93.4,9.1,39.5,<0.5,,76.3,53.3,6.7,76.4,17.5,49.6,50.3,49.7,<0.5,89,<0.5,15.8,15.8,8.2,30.7,<0.5,<0.5,>99.5,>99.5,<0.5,<0.5,<10,99.1,60.2,43.7,68.2,<50,45.3,90.9,<0.5,9.4,<0.5,1,Crane Operators,87.5,20.5096868,79.4903132,12.2166474,14.7356233,0.8452335,3.240705005,348
96,339099,33909X,3390XX,"Protective service workers, all other",339099,82500,22.8,47420,detailed,cross-industry,53.3,32.4,38,60,<5,<20,3.07,38.375,3.34,41.75,1,1,67.6,30.8,31.1,,72.5,66.6,31,23.5,15.3,4.6,28.1,55.7,44.3,<5,55,<5,3.1,3.1,58.5,28.1,<0.5,,94,91.1,7.6,<0.5,<5,>99.5,<5,<10,<5,<5,<15,69.2,<0.5,<0.5,32,2,Protective Service Workers (Other),,31.6432735,68.3567265,4.8058181,12.4659048,3.5153642,1.587767335,274
61,251054,25105X,2510XX,"Physics teachers, postsecondary",251054,14030,*,106950,detailed,cross-industry,29.1,>95,16.3,35.2,,,3.26,40.75,3.94,49.25,1,1,<5,>90,64.8,<0.5,>80,2.3,<0.5,1.9,13.5,<0.5,1.1,45.6,54.4,26.2,<5,<0.5,<0.5,<0.5,>99.5,1.1,,<0.5,>99.5,>99.5,<0.5,<5,<5,>99.5,<0.5,<5,<0.5,<5,<0.5,<10,<0.5,<15,38.6,1,Physics Teachers (Postsecondary),6.9,24.9792894,75.0207106,6.5677857,8.3699504,12.4399409,11.89629558,406
74,413091,41309X,4130XX,"Sales representatives of services, except advertising, insurance, financial services, and travel",413091,1142020,38.98,81080,detailed,cross-industry,31.7,81.9,25.9,,3.1,8.2,1.94,24.25,6.08,76,1,76,18.1,88.7,53.8,<0.5,>95,17.4,16.2,<0.5,11.4,2.5,56,24.4,75.6,6.2,37.6,<0.5,<0.5,<0.5,96.2,55.8,39.8,24.8,>95,>95,<5,<5,<5,>99.5,0.8,<0.5,1.4,<5,<0.5,11.3,<0.5,11.8,21.4,23,Service Sales Reps,7.9,16.7517175,83.2482825,7.1798587,12.4308408,3.9499008,3.92281383,24
66,392011,39201X,3920XX,Animal trainers,392011,19240,21.59,44910,detailed,cross-industry,>99.5,<35,96.6,76.5,,,6.11,76.375,0.78,9.75,76.375,1,>65,9.1,,<0.5,82.7,>70,>99.5,80.7,>50,<15,10.1,90,10,<0.5,95.3,<0.5,3.2,<5,70,7.2,<0.5,<10,>99.5,>75,<5,<5,<0.5,>99.5,4.4,<0.5,7.1,<5,<5,90.9,<0.5,1.3,2.2,1,Animal Trainers,193.7,10.7700093,89.2299907,3.5106724,9.5479304,1.4829959,4.49323345,380
58,253021,25302X,2530XX,Self-enrichment teachers,253021,272110,25.43,52890,detailed,cross-industry,,32.5,,58.8,,,3.18,39.75,0.95,11.875,1,1,67.5,56.9,,<0.5,56.5,14.6,74.3,29.2,,12.8,19.3,81.1,18.9,,,5.3,9.4,9.6,,10.2,1.7,30.8,>99.5,>70,3.8,<0.5,<0.5,>99.5,<0.5,<5,<0.5,<5,5.3,43.1,,,,6,Self-Enrichment Teachers,23.6,33.2964890,66.7035110,9.2515875,14.6918611,14.2735687,7.300793302,120
32,531041,53104X,5310XX,Aircraft cargo handling supervisors,531041,9020,31.23,64950,detailed,cross-industry,>99.5,<0.5,>99.5,90.2,<0.5,8.4,5.8,72.5,2.24,28,72.5,1,>99.5,,,<5,>95,>95,,<0.5,8.4,,,72.1,27.9,,5.1,<10,2.3,,>85,,<0.5,,>99.5,>99.5,<5,<0.5,<0.5,>99.5,<15,<10,<15,<5,,,<0.5,<0.5,,1,Cargo Supervisors,465.7,29.9307074,70.0692926,16.0661938,19.6363944,3.9729117,5.346850286,437
25,434081,43408X,4340XX,"Hotel, motel, and resort desk clerks",434081,263800,15.66,32570,detailed,cross-industry,75.6,28.7,49.5,54,3.5,13.9,5.29,66.125,2.14,26.75,66.125,1,71.3,16.5,46,<0.5,>99.5,8,33.5,5.3,17.4,8,<0.5,70.5,29.5,<5,97.8,<0.5,<0.5,<0.5,>95,<0.5,<0.5,<0.5,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<5,<0.5,83.5,<0.5,<0.5,<0.5,6,Hotel Desk Clerks,32.7,37.3416944,62.6583056,15.3572382,18.5025358,8.2619673,6.44797135,123
82,331091,33109X,3310XX,First-line supervisors of security workers,331091,64900,28.64,59580,detailed,cross-industry,,,,,<0.5,12.8,4.54,56.75,3.33,41.625,56.75,1,,,,<0.5,>95,86.8,,<5,12.8,7.4,19,58,42,8.9,,<0.5,<0.5,<0.5,>85,19,<0.5,<5,>99.5,>99.5,5.7,<0.5,<0.5,>99.5,<15,<0.5,<15,<5,<5,,<0.5,5.6,,2,Security Supervisors,95.6,31.3994188,68.6005812,20.6313942,13.9942015,2.3582862,2.129455806,300
51,119072,11907X,1190XX,"Entertainment and recreation managers, except gambling",119072,29690,40.42,84080,detailed,cross-industry,54.3,83.1,,,,,4.34,54.25,3.77,47.125,54.25,1,16.9,>95,,<0.5,>99.5,70.6,42.3,,53.1,3.3,74.1,53,47,22.5,21.3,<5,2.4,2.4,>90,69.7,7.3,34.1,>99.5,>99.5,13.5,<0.5,<0.5,>99.5,1.5,<0.5,21.7,<5,3.4,<5,<0.5,7.9,28,1,Entertainment Managers,123.4,20.3432675,79.6567325,7.0047327,11.2121261,3.6544310,3.187665685,365
